"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Execute one API test case from JSON plan row.","10","test_api_row[row5]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","54","test_api_row[row17]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","12","test_api_row[row2]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","26","test_api_row[row1]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","36","test_api_row[row10]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","12","test_api_row[row14]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","66","test_api_row[row0]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","217","test_api_row[row16]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","19","test_api_row[row13]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","41","test_api_row[row19]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","46","test_api_row[row11]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","30","test_api_row[row7]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","42","test_api_row[row20]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","13","test_api_row[row6]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","40","test_api_row[row12]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","66","test_api_row[row9]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","41","test_api_row[row8]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","56","test_api_row[row18]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","28","test_api_row[row3]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","23","test_api_row[row15]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
"Execute one API test case from JSON plan row.","10","test_api_row[row4]",".trae.skills.api-test-runner.scripts","2026-05-17","passed","2026-05-17","","test_api","",""
